id,street_number,unit,street_name,city,district,state,state_code,zip_code
31,3,,CHEPACHET ROAD,AVON,HARTFORD,Connecticut,CT,
32,52,0000,WEBB ST,HAMDEN,,Connecticut,CT,
33,30,,PRESTON Drive,STRATFORD,,Connecticut,CT,
34,52,,MOUNTAIN VIEW AVENUE,AVON,HARTFORD,Connecticut,CT,
35,150,,RIVERSIDE DR EXT,MILFORD,,Connecticut,CT,
36,738,,HICKMAN DR,OCEAN VIEW,,Delaware,DE,19970
37,1414,,RIVERVIEW AVE,WILMINGTON,,Delaware,DE,19806.0
38,4410,,BERRYTOWN RD,Camden Wyoming,,Delaware,DE,19934.0
39,37117,,MISSISSIPPI DR,FRANKFORD,,Delaware,DE,19945
40,1006,,Hayes Cir,Dover,,Delaware,DE,19904.0
41,1173,,NE RIVER BLUFF DR DR NE,ARCADIA,,Florida,FL,34266
42,4282,,NORTH RD,GREEN COVE SPRINGS,,Florida,FL,32043
43,2347,,NW HAILE DEAN RD RD NW,ARCADIA,,Florida,FL,34266
44,1331,,SW M L KING JR ST ST SW,ARCADIA,,Florida,FL,34266
45,2070,,THORNHILL DR,FLEMING ISLAND,,Florida,FL,32003
46,431,,AIRPORT RD,BALDWIN,,Georgia,GA,
47,7253,,DEERING CT,DOUGLASVILLE,,Georgia,GA,30134
48,272,A,HILLS AND DALES FARM RD,LAGRANGE,,Georgia,GA,30240
49,9100,,Eifel Court,Johns Creek,,Georgia,GA,30022
50,7967,,POST RD,WINSTON,,Georgia,GA,30187
51,3434,,PUU KAPELE AVE,HOOLEHUA,,Hawaii,HI,96729
52,2119,,N KING ST,Honolulu / Tripler,,Hawaii,HI,96819
53,71,,KOPI LN,WAILUKU,,Hawaii,HI,96793
54,859,,AALAPAPA DR,Kailua,,Hawaii,HI,96734
55,100,A,HANA HWY,PAIA,,Hawaii,HI,96779
56,503,503 Drury Ln,Drury Ln,Le Grand,Marshall,Iowa,IA,50142-7761
57,1131,,N QUINCY,OTTUMWA,,Iowa,IA,52501
58,33573,33573 Electric Park,Electric Park,Ruthven,PaloAlto,Iowa,IA,51358-8514
59,1044,1044 Park Ave,Park Ave,Cherokee,Cherokee,Iowa,IA,51012-1127
60,2851,2851 Jessup Ave,Jessup Ave,Melbourne,Marshall,Iowa,IA,50162-9564
61,240,,S 1st  W,Soda Springs,,Idaho,ID,
62,8189,,N CROWN POINTE ST,POST FALLS,,Idaho,ID,83854
63,5163,,E Allcott Dr,Iona,,Idaho,ID,83427
64,3881,,N Nicklaus Dr,Coeur D Alene,Kootenai,Idaho,ID,83815
65,3410,,W RIDGE DR,POST FALLS,,Idaho,ID,83854
66,709,,SPALDING AVENUE,PEORIA,,Illinois,IL,61603
67,932,,AUTUMN LN,AURORA,,Illinois,IL,60505
68,39W214,,FABYAN PKWY,GENEVA,,Illinois,IL,60134
69,121,,W CLEVELAND ST,SPRING VALLEY,,Illinois,IL,
70,1539,,NORTH GREAT OAK ROAD,PEORIA,,Illinois,IL,61604
71,2728,,GRAND BLVD,HIGHLAND,,Indiana,IN,46322
72,7026,,EFFINGHAM SQUARE,INDIANAPOLIS,MARION,Indiana,IN,46260
73,819,,ISABELLE DR,ANDERSON,,Indiana,IN,46013
74,BARN,,ELVERNAN DR,WEST LAFAYETTE,,Indiana,IN,47906
75,600,E17,E  JACKSON ST,ALEXANDRIA,,Indiana,IN,46001
76,540,,N BIRCH,Ottawa,,Kansas,KS,66067
77,4201,,Kaw Rd,Manhattan,,Kansas,KS,66502
78,19672,,K4 HWY,Nortonville,,Kansas,KS,66060
79,347,,E  5TH AVE,AUGUSTA,,Kansas,KS,67010
80,3773,,Eagle Rdg,Manhattan,,Kansas,KS,66503
81,604,,S CHAPEL ST,FALMOUTH,,Kentucky,KY,41040
82,368,,HILLCREST RD,BOWLING GREEN,,Kentucky,KY,42103
83,129,,HARRISON CT,BEREA,,Kentucky,KY,40403
84,8292,,NOB HILL RD,ALVATON,,Kentucky,KY,42122
85,2375,,JACKSON TWP RD 131,JUNCTION CITY,,Kentucky,KY,43748
86,46304,,KIN TALLY DR,HAMMOND,TANGIPAHOA,Louisiana,LA,70401
87,439,,STONEY CREEK AVE,BATON ROUGE,,Louisiana,LA,70808
88,12055,,HWY 40,INDEPENDENCE,TANGIPAHOA,Louisiana,LA,70443
89,3575,,N ACADIAN THWY,BATON ROUGE,,Louisiana,LA,70805
90,582,,SPRING BRANCH RD,SPRINGHILL,,Louisiana,LA,71075
91,520,REAR,CANTON STREET,WESTWOOD,NORFOLK,Massachusetts,MA,02090
92,70,,PLEASANT STREET,QUINCY,NORFOLK,Massachusetts,MA,02169
93,24,,School St,Easton,,Massachusetts,MA,
94,76,,Center St,Easton,,Massachusetts,MA,
95,130,412,ENDICOTT STREET,BOSTON,SUFFOLK,Massachusetts,MA,02113
96,11157,,GOLDENROD Way,Unincorporated,Washington County,Maryland,MD,21740
97,66,UNIT 640,WAVERLEY DR,FREDERICK,FREDERICK,Maryland,MD,21702
98,633,,AUDREY LANE,OXON HILL,,Maryland,MD,20745
99,3527,,DEAN DRIVE,HYATTSVILLE,,Maryland,MD,20782
100,20131,,KELLYS Lane,Unincorporated,Washington County,Maryland,MD,21742
101,761,22,Western Ave,Hampden,Penobscot,Maine,ME,04444
102,12,,McEnroe Rd,Southwest Harbor,Hancock,Maine,ME,04679
103,14,,Evans Rd,Bridgton,Cumberland,Maine,ME,04009
104,15,APT 5,Cushman Pl,Auburn,Androscoggin,Maine,ME,04210
105,185,,Beedle Rd,Richmond,Sagadahoc,Maine,ME,04357
106,600,,CLAYTON AVE NW,GRAND RAPIDS,,Michigan,MI,49534
107,1274,,SKYHILLS DR NE,COMSTOCK PARK,,Michigan,MI,49321
108,1964,,BELDEN AVE SW,WYOMING,,Michigan,MI,49509
109,4075,,CHATFIELD,TROY,,Michigan,MI,48098
110,1251,,ARBOR AVE,MONROE,,Michigan,MI,48162
111,600,432,30th Avenue South,Moorhead,,Minnesota,MN,56560
112,9259,,SOUTHWEST 37TH AVENUE,HOPE,STEELE,Minnesota,MN,56046
113,1791,,210th St,HALLOCK,,Minnesota,MN,
114,34241,,COUNTY RD 18,STARBUCK,,Minnesota,MN,56381
115,31794,,275TH ST,STARBUCK,,Minnesota,MN,56381
116,3101,APT F302,S OLD 63,COLUMBIA,,Missouri,MO,65201
117,6460,,CEDAR LAKE DR,BONNE TERRE,,Missouri,MO,63628
118,7109,,HARECLIFF DR,Kansas City,,Missouri,MO,
119,8028,,N EVERTON AVE,Kansas City,,Missouri,MO,
120,3611,,TOPANGA DR,COLUMBIA,,Missouri,MO,65202
121,513,,SOUTH CHURCH STREET,EGYPT,CHICKASAW COUNTY,Mississippi,MS,38860
122,226,,JESSIE MALONE ROAD,BILOXI,JONES COUNTY,Mississippi,MS,39443
123,11035 LOT 10,LOT 10,PATTISON HERMANVILLE ROAD,COUNTY,CLAIBORNE COUNTY,Mississippi,MS,39086
124,0,,LUM LANE,PORT GIBSON,CLAIBORNE COUNTY,Mississippi,MS,39150
125,1419,,WILLOW STREET,LAUREL,JONES COUNTY,Mississippi,MS,39439
126,104,,FIRST ST W,Clyde Park,,Montana,MT,59018
127,779,,Vandyke Road,Bozeman,Gallatin County,Montana,MT,
128,27,,Luedtke Road,Cut Bank,Glacier County,Montana,MT,
129,5584,,Larson Lane,Florence,Ravalli County,Montana,MT,
130,2409,,38th Street,Missoula,Missoula County,Montana,MT,
131,160,,N  MAY ST,SP,,North Carolina,NC,28387
132,2533,,PINEWAY DR,BURLINGTON,ALAMANCE,North Carolina,NC,27215
133,62,,SALERNO   DRIVE,CLAYTON,JOHNSTON,North Carolina,NC,27527
134,1013,,EAST    24TH   STREET,NEWTON,CATAWBA,North Carolina,NC,28658
135,6530,,NC 700,RUFFIN,ROCKINGHAM,North Carolina,NC,27326
136,16240,,28TH ST SW,BEACH,,North Dakota,ND,58621
137,710,,6TH ST NW,BEACH,,North Dakota,ND,58621
138,540,,3RD AVE SE,DICKINSON,,North Dakota,ND,
139,747,,24TH ST W,DICKINSON,,North Dakota,ND,
140,314,,LIND BLVD,HARWOOD,,North Dakota,ND,58042
141,811,,JUDSON ST,LINCOLN,,Nebraska,NE,68521
142,9333,,BLACKWOOD AVE,LINCOLN,,Nebraska,NE,68526
143,12424,,Frances Cir,Omaha,,Nebraska,NE,68144
144,9409,,Pratt Cir,Omaha,,Nebraska,NE,68134
145,3542,,Fontenelle Blvd,Omaha,,Nebraska,NE,68104
146,227,,MOUNTAIN RD,Jaffrey,Cheshire,New Hampshire,NH,
147,659,,PINGREE HILL ROAD,AUBURN,,New Hampshire,NH,
148,104,,WINDSOR DRIVE,AUBURN,,New Hampshire,NH,
149,21,,GOODNOW ST,Jaffrey,Cheshire,New Hampshire,NH,
150,44,,STONEY BROOK LANE,AUBURN,,New Hampshire,NH,
151,18,,Lesko Ter,Ogdensburg Borough,,New Jersey,NJ,
152,4,,EGRET DR,LOWER TWP,,New Jersey,NJ,
153,19,,Park Street,Edgewater,,New Jersey,NJ,07020
154,7203,,ATLANTIC AVE,WILDWOOD CREST,,New Jersey,NJ,
155,140,Apartment 2C,Franklin Avenue,Nutley,,New Jersey,NJ,07110
156,2924,,CARDENAS DR NE,ALBUQUERQUE,,New Mexico,NM,87110
157,16,,ROAD 6299,KIRTLAND,,New Mexico,NM,87417
158,610,APT 38,E 30TH St,FARMINGTON,,New Mexico,NM,87401
159,602,,MILLER,BLOOMFIELD,,New Mexico,NM,87413
160,367,,RIDGECREST AVE,LOS ALAMOS,LOS ALAMOS,New Mexico,NM,87547
161,466,,F ST,HAWTHORNE,,Nevada,NV,
162,12421,,Eagle St,Ursine,,Nevada,NV,
163,940,,SPENCER ST,HAWTHORNE,,Nevada,NV,
164,1201,SP 11,KENO DR,JACKPOT,,Nevada,NV,89825
165,4175,D15,NEIL RD,RENO,WASHOE,Nevada,NV,89502
166,8929,,LYONS MARENGO RD,GALEN,,New York,NY,14489
167,221,,Mossy Brook Rd,Rosendale,,New York,NY,
168,126,,Sterling Pl,Lloyd,,New York,NY,
169,5,,WOOD AV,COLD SPRING,,New York,NY,10516
170,258,,Rte 208,New Paltz,,New York,NY,
171,1510,,WESTGATE DR,DEFIANCE,DEF,Ohio,OH,
172,83,UNIT,ANDOVER RD,HEATH,,Ohio,OH,43056
173,601,,FIRST ST,NAPOLEON,HEN,Ohio,OH,43545
174,515,,EASTERN AVE,ASHLAND,ASD,Ohio,OH,
175,413,,N WATER ST,LOUDONVILLE,ASD,Ohio,OH,
176,5311,,EAST 47TH PLACE SOUTH,TULSA,,Oklahoma,OK,74135
177,337,,SAHOMA TER,EDMOND,,Oklahoma,OK,73013
178,1920,,E 2ND ST,EDMOND,,Oklahoma,OK,73034
179,224,,S LEXINGTON WAY,EDMOND,,Oklahoma,OK,73012
180,1102,,SOUTH MARINA DRIVE,OOLOGAH,,Oklahoma,OK,74053
181,210,,SOUTHWEST 6TH STREET,GRANTS PASS,JOSEPHINE COUNTY,Oregon,OR,97526
182,16267,,TERRACE ST,BROOKINGS,,Oregon,OR,97415
183,458,,S BUENA VISTA AVE,Burns,,Oregon,OR,97720
184,60664,,ANDERSON VALLEY RD,Princeton,,Oregon,OR,97721
185,101,,ARBOR RIDGE DRIVE,GRANTS PASS,JOSEPHINE COUNTY,Oregon,OR,97527
186,20419,,State Route 706,MONTROSE,Susquehanna County,Pennsylvania,PA,18801
187,572,,Island Road,Dunnstable Township,Clinton County,Pennsylvania,PA,
188,256,,State Route 2024,MONTROSE,Susquehanna County,Pennsylvania,PA,18801
189,110,,PEACH ALY,LEHIGHTON,,Pennsylvania,PA,18235
190,340,,Proctor Street,Lock Haven,Clinton County,Pennsylvania,PA,
191,23,,EDWIN ST,BARRINGTON,,Rhode Island,RI,02806
192,2138,,PROVIDENCE PIKE,NORTH SMITHFIELD,,Rhode Island,RI,02896
193,30,,ZIPPORAH ST,NORTH PROVIDENCE,,Rhode Island,RI,02911
194,41 -U55,,41 BREAKNECK HILL RD,LINCOLN,,Rhode Island,RI,02865
195,211,,SWEET ALLEN FARM RD,SOUTH KINGSTOWN,,Rhode Island,RI,02879
196,3574,,WAMBLE HILL,CHESTERFIELD,,South Carolina,SC,29709
197,146,,BYRD MURRAY RD,COUNTY,,South Carolina,SC,
198,62,,ROCKY PRONG,PATRICK,,South Carolina,SC,29584
199,407,,KING CHARLES CIR,SUMMERVILLE,,South Carolina,SC,
200,223,,MANDALAY LN,LAURENS,,South Carolina,SC,
201,640,,MAIN ST,ALEXANDRIA,HANSON COUNTY,South Dakota,SD,57311
202,1906,,BRADLEY ST,YANKTON,YANKTON COUNTY,South Dakota,SD,57078
203,741,,POPLAR ST,ALEXANDRIA,HANSON COUNTY,South Dakota,SD,57311
204,126,,BASS BLVD,PIERRE,SULLY COUNTY,South Dakota,SD,57501
205,304,,E 23RD ST,YANKTON,YANKTON COUNTY,South Dakota,SD,57078
206,207,APT 91,NATIONAL DR,MURFREESBORO,RUTHERFORD,Tennessee,TN,37128
207,206,,W LOKEY AVE,MURFREESBORO,RUTHERFORD,Tennessee,TN,37130
208,200,APT G151,KEDRON PKWY,SPRING HILL,MAURY,Tennessee,TN,37174
209,1519,,GEORGETOWN LN,MURFREESBORO,RUTHERFORD,Tennessee,TN,37129
210,5040,,FLAT CREEK RD,SPRING HILL,MAURY,Tennessee,TN,37174
211,78,,BARACUDA DRIVE,PALACIOS,,Texas,TX,77465
212,1314,A,WILSON ST,BASTROP,,Texas,TX,78602
213,26,,MULLET LANE,PALACIOS,,Texas,TX,77465
214,3900,,S   SH 304,ROSANKY,,Texas,TX,78953
215,1930,,CR 218 RD,HUNGERFORD,,Texas,TX,77448
216,524,,E RIZZINI WAY,VINEYARD,,Utah,UT,84059
217,2833,,E RIDGEDALE LN,ST GEORGE,,Utah,UT,84790
218,211,,E 830  S,SMITHFIELD,,Utah,UT,84335
219,426,,S 200  W,LOGAN,,Utah,UT,84321
220,257,,E MUNICH DR,ST GEORGE,,Utah,UT,84790
221,1691,,SNEAD SPRING RD,CREWE,,Virginia,VA,23930
222,108,,W TENNESSEE AVE,CREWE,,Virginia,VA,23930
223,44,,HIGH ST,LYNCHBURG,,Virginia,VA,24501
224,6,,DIGGES CT,Williamsburg,,Virginia,VA,23188
225,151,,BEAVERBROOK CT,DANVILLE,,Virginia,VA,24541
226,305,,FOSTER RD,EAST MONTPELIER,WASHINGTON,Vermont,VT,05651
227,660,,GUILFORD CENTER RD,GUILFORD,WINDHAM,Vermont,VT,05301
228,1202,,SHELBURNE FALLS RD,HINESBURG,CHITTENDEN,Vermont,VT,05461
229,5545,,VT ROUTE 100,PLYMOUTH,WINDSOR,Vermont,VT,05056
230,3176,,GREENBUSH RD,CHARLOTTE,CHITTENDEN,Vermont,VT,05445
231,4433,,87TH AVE SE,Olympia,,Washington,WA,98501
232,3012,,NIAGARA ST,Bellingham,,Washington,WA,
233,1600,,Road,POMEROY,,Washington,WA,99347
234,800,,Lane,DAYTON,,Washington,WA,99328
235,3435,,H STREET RD,Blaine,,Washington,WA,
236,735,,DECORAH RD W,WEST BEND,,Wisconsin,WI,53095
237,437,,N CENTER AVE,JEFFERSON,,Wisconsin,WI,53549
238,217,,COLLEGE AVE,WATERTOWN,,Wisconsin,WI,53094
239,406,,S KRANZ AVE,JEFFERSON,,Wisconsin,WI,53549
240,2320,,SILVER CREEK RD,MANITOWOC,,Wisconsin,WI,54220
241,2588,,GLADE RUN,MOATSVILLE,,West Virginia,WV,26405
242,2185,,POCAHONTAS TRL,WHITE SULPHUR SPRINGS,,West Virginia,WV,24986
243,155,,ELLIOTT AVE,BELINGTON,,West Virginia,WV,26250
244,2530,,GREEN MOUNTAIN RD,KEYSER,,West Virginia,WV,26726
245,118,,W CUMBERLAND ST,WILEY FORD,,West Virginia,WV,26767
246,1,,B BAR L LN,GILLETTE,,Wyoming,WY,82716
247,514,,BRIDGE ST,DAYTON,,Wyoming,WY,82836
248,7228,,MCKENNA ROAD,TORRINGTON,,Wyoming,WY,
249,351,,DUTCH CREEK RD,CLEARMONT,,Wyoming,WY,82835
250,3811,,ROPER LN,GILLETTE,,Wyoming,WY,82718
